,metric,AF,BWT,FWT,class_name
0,img_level_auroc,0.03932584269662942,[-0.036516853932584414],[-0.002808988764045006],carpet
1,pix_level_auroc,0.040355632926139196,[-0.040355632926139196],[0.0016571321553453533],carpet
2,img_level_average_precision,0.010777301972368258,[-0.010212088646763484],[-0.0005974002462765249],carpet
3,pix_level_average_precision,0.2652545747470009,[-0.2652545747470009],[0.036684849654653684],carpet
4,img_level_auroc,0.3581334332833583,[-0.3478260869565217],[0.39505247376311836],cable
5,pix_level_auroc,0.1824593278940686,[-0.18218196562855082],[0.2416956935128638],cable
6,img_level_average_precision,0.2746482652186766,[-0.2678533206073114],[0.325725869613704],cable
7,pix_level_average_precision,0.2984013844801809,[-0.2733278041759088],[0.2821885465614947],cable
8,img_level_auroc,0.5307247899159664,[-0.5252100840336136],[0.5386029411764706],zipper
9,pix_level_auroc,0.12168468630553131,[-0.12165477243872835],[0.09448138576202258],zipper
10,img_level_average_precision,0.18533871934269686,[-0.183172615375794],[0.2219012810560982],zipper
11,pix_level_average_precision,0.3233755253016014,[-0.32330375935563826],[0.30677701579113803],zipper
12,img_level_auroc,0.0017543859649123972,[-0.0017543859649123972],[0.02807017543859658],wood
13,pix_level_auroc,0.049394607798223134,[-0.047490558245468106],[0.10158925607828673],wood
14,img_level_average_precision,0.0005148710458560135,[-0.0005148710458560135],[0.008166904642108452],wood
15,pix_level_average_precision,0.15870578475576702,[-0.1489650035698737],[0.12201043685373891],wood
16,img_level_auroc,0.10173160173160167,[-0.10101010101010088],[0.016955266955266834],tile
17,pix_level_auroc,0.1876637601014456,[-0.1876637601014456],[0.09908775076394316],tile
18,img_level_average_precision,0.04047974102484253,[-0.04020125753842474],[0.00642905929931703],tile
19,pix_level_average_precision,0.2028285589756591,[-0.20104326255977],[0.151943694295972],tile
20,img_level_auroc,0.2922776148582601,[-0.235581622678397],[0.5459433040078202],metal_nut
21,pix_level_auroc,0.15089712366402164,[-0.1498561420803013],[0.22871388714072838],metal_nut
22,img_level_average_precision,0.10339509037037298,[-0.08549252570887134],[0.2615192154726397],metal_nut
23,pix_level_average_precision,0.2549470925317655,[-0.2466304180868173],[0.2908881182110713],metal_nut
24,img_level_auroc,0.5262500000000001,[-0.5262500000000001],[0.6129166666666668],transistor
25,pix_level_auroc,0.3279835532613108,[-0.32560696397079636],[0.4496197153849133],transistor
26,img_level_average_precision,0.5631065535312658,[-0.5631065535312658],[0.6036655820027002],transistor
27,pix_level_average_precision,0.4441138512358072,[-0.4441138512358072],[0.4695574346490559],transistor
28,img_level_auroc,0.43968253968253956,[-0.43968253968253956],[0.6912698412698413],bottle
29,pix_level_auroc,0.2775717600706987,[-0.2770817352876447],[0.6623230463511198],bottle
30,img_level_average_precision,0.17193823638695782,[-0.17193823638695782],[0.33809147595350264],bottle
31,pix_level_average_precision,0.588646601899442,[-0.5874032032291742],[0.6709168768852103],bottle
32,img_level_auroc,0.03872282608695643,[-0.03872282608695643],[0.5383831521739131],leather
33,pix_level_auroc,0.05886939458573459,[-0.0587258977901528],[0.38643172284370086],leather
34,img_level_average_precision,0.011954177850184267,[-0.011954177850184267],[0.25927422883480455],leather
35,pix_level_average_precision,0.22312048177115099,[-0.21859670345331492],[0.4480550547478259],leather
36,img_level_auroc,0.16066557555919259,[-0.15084560829241667],[0.11920349154391707],pill
37,pix_level_auroc,0.11713518896801167,[-0.11138849567268316],[0.2247846415470831],pill
38,img_level_average_precision,0.041449410642228623,[-0.03928593275519843],[0.0371809370471754],pill
39,pix_level_average_precision,0.3112263446003579,[-0.3112263446003579],[0.36147073627736964],pill
40,img_level_auroc,0.049285714285714155,[-0.048214285714285765],[0.17607142857142866],hazelnut
41,pix_level_auroc,0.011753650830052864,[-0.010114870935495013],[0.027516661050179803],hazelnut
42,img_level_average_precision,0.028382263098783,[-0.02783732519915394],[0.12143889809249198],hazelnut
43,pix_level_average_precision,0.12508631209277543,[-0.11516691312010441],[0.15031386522510376],hazelnut
44,img_level_auroc,0.13611111111111107,[-0.12222222222222223],[0.4138888888888889],toothbrush
45,pix_level_auroc,0.0885760063299097,[-0.08780686035695906],[0.1152253377497976],toothbrush
46,img_level_average_precision,0.06849611385811871,[-0.061660411002630755],[0.24720293243714164],toothbrush
47,pix_level_average_precision,0.4280434715336501,[-0.41610233639461014],[0.4244990009282128],toothbrush
48,img_level_auroc,0.21380135620263274,[-0.17590745911447947],[0.1164738731551655],capsule
49,pix_level_auroc,0.04161339441863221,[-0.04128101972148701],[0.05955246750071119],capsule
50,img_level_average_precision,0.08000360430923015,[-0.06415380385750968],[0.04786661137623249],capsule
51,pix_level_average_precision,0.16457027670759689,[-0.1507253628074818],[0.1590481336826341],capsule
52,img_level_auroc,0.1119081779053086,[0.0],[-0.02582496413199431],screw
53,pix_level_auroc,0.0,[0.0],[0.015009559611897205],screw
54,img_level_average_precision,0.06219687395111373,[0.0],[-0.012274321905637597],screw
55,pix_level_average_precision,0.0016400862920139016,[0.0],[0.004952381118556198],screw
